Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 02:20:16.655000,TSU,22,0 days 00:01:26.751000,33.0,2.0,,,0 days 00:00:28.464000,0 days 00:00:29.802000,0 days 00:00:28.485000,0 days 02:19:18.460000,0 days 02:19:48.262000,0 days 02:20:16.747000,288.0,306.0,315.0,311.0,False,MEDIUM,30.0,True,Racing Bulls,0 days 02:18:49.904000,,1,9.0,,,False,True
0 days 02:21:43.289000,TSU,22,0 days 00:01:26.634000,34.0,2.0,,,0 days 00:00:28.389000,0 days 00:00:29.716000,0 days 00:00:28.529000,0 days 02:20:45.136000,0 days 02:21:14.852000,0 days 02:21:43.381000,289.0,307.0,314.0,312.0,False,MEDIUM,31.0,True,Racing Bulls,0 days 02:20:16.655000,,1,9.0,,,False,True
0 days 02:23:09.985000,TSU,22,0 days 00:01:26.696000,35.0,2.0,,,0 days 00:00:28.445000,0 days 00:00:29.790000,0 days 00:00:28.461000,0 days 02:22:11.826000,0 days 02:22:41.616000,0 days 02:23:10.077000,290.0,308.0,315.0,312.0,False,MEDIUM,32.0,True,Racing Bulls,0 days 02:21:43.289000,,1,9.0,,,False,True
0 days 02:24:36.393000,TSU,22,0 days 00:01:26.408000,36.0,2.0,,,0 days 00:00:28.279000,0 days 00:00:29.646000,0 days 00:00:28.483000,0 days 02:23:38.356000,0 days 02:24:08.002000,0 days 02:24:36.485000,290.0,310.0,315.0,313.0,True,MEDIUM,33.0,True,Racing Bulls,0 days 02:23:09.985000,,1,9.0,,,False,True
0 days 02:26:02.776000,TSU,22,0 days 00:01:26.383000,37.0,2.0,,,0 days 00:00:28.209000,0 days 00:00:29.747000,0 days 00:00:28.427000,0 days 02:25:04.694000,0 days 02:25:34.441000,0 days 02:26:02.868000,292.0,306.0,313.0,317.0,True,MEDIUM,34.0,True,Racing Bulls,0 days 02:24:36.393000,,1,9.0,,,False,True
0 days 02:27:29.388000,TSU,22,0 days 00:01:26.612000,38.0,2.0,,,0 days 00:00:28.334000,0 days 00:00:29.747000,0 days 00:00:28.531000,0 days 02:26:31.202000,0 days 02:27:00.949000,0 days 02:27:29.480000,288.0,305.0,312.0,312.0,False,MEDIUM,35.0,True,Racing Bulls,0 days 02:26:02.776000,,1,9.0,,,False,True
0 days 02:28:55.995000,TSU,22,0 days 00:01:26.607000,39.0,2.0,,,0 days 00:00:28.403000,0 days 00:00:29.701000,0 days 00:00:28.503000,0 days 02:27:57.883000,0 days 02:28:27.584000,0 days 02:28:56.087000,289.0,306.0,311.0,311.0,False,MEDIUM,36.0,True,Racing Bulls,0 days 02:27:29.388000,,1,9.0,,,False,True
0 days 02:30:22.887000,TSU,22,0 days 00:01:26.892000,40.0,2.0,,,0 days 00:00:28.543000,0 days 00:00:29.873000,0 days 00:00:28.476000,0 days 02:29:24.630000,0 days 02:29:54.503000,0 days 02:30:22.979000,287.0,306.0,316.0,311.0,False,MEDIUM,37.0,True,Racing Bulls,0 days 02:28:55.995000,,1,9.0,,,False,True
0 days 02:31:50.137000,TSU,22,0 days 00:01:27.250000,41.0,2.0,,,0 days 00:00:28.262000,0 days 00:00:30.226000,0 days 00:00:28.762000,0 days 02:30:51.241000,0 days 02:31:21.467000,0 days 02:31:50.229000,292.0,317.0,324.0,310.0,False,MEDIUM,38.0,True,Racing Bulls,0 days 02:30:22.887000,,1,10.0,,,False,True
0 days 02:33:16.457000,TSU,22,0 days 00:01:26.320000,42.0,2.0,,,0 days 00:00:28.255000,0 days 00:00:29.671000,0 days 00:00:28.394000,0 days 02:32:18.484000,0 days 02:32:48.155000,0 days 02:33:16.549000,295.0,315.0,318.0,325.0,True,MEDIUM,39.0,True,Racing Bulls,0 days 02:31:50.137000,,1,10.0,,,False,True
0 days 02:34:43.246000,TSU,22,0 days 00:01:26.789000,43.0,2.0,,,0 days 00:00:28.366000,0 days 00:00:29.966000,0 days 00:00:28.457000,0 days 02:33:44.915000,0 days 02:34:14.881000,0 days 02:34:43.338000,294.0,312.0,314.0,316.0,False,MEDIUM,40.0,True,Racing Bulls,0 days 02:33:16.457000,,1,10.0,,,False,True
0 days 02:36:09.740000,TSU,22,0 days 00:01:26.494000,44.0,2.0,,,0 days 00:00:28.449000,0 days 00:00:29.747000,0 days 00:00:28.298000,0 days 02:35:11.787000,0 days 02:35:41.534000,0 days 02:36:09.832000,290.0,309.0,315.0,313.0,False,MEDIUM,41.0,True,Racing Bulls,0 days 02:34:43.246000,,1,10.0,,,False,True
0 days 02:37:36.273000,TSU,22,0 days 00:01:26.533000,45.0,2.0,,,0 days 00:00:28.446000,0 days 00:00:29.721000,0 days 00:00:28.366000,0 days 02:36:38.278000,0 days 02:37:07.999000,0 days 02:37:36.365000,290.0,308.0,314.0,315.0,False,MEDIUM,42.0,True,Racing Bulls,0 days 02:36:09.740000,,1,10.0,,,False,True
